Split	Annotator.ID	Display.Position	Sentence.ID	Pred.Token	Pred.Lemma	Is.Predicate	Is.Understandable	Happened	Confidence	Keep
dev	6	1	en-ud-dev.conllu 780	8	confess	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 780	8	confess	True	True	true	4	True
dev	7	1	en-ud-dev.conllu 802	11	decide	True	True	true	4	True
dev	14	1	en-ud-dev.conllu 802	11	decide	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 807	47	add	False	True	na	na	True
dev	14	1	en-ud-dev.conllu 807	47	add	True	True	false	4	True
dev	8	1	en-ud-dev.conllu 877	17	add	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 877	17	add	True	True	true	2	True
train	14	1	en-ud-train.conllu 4504	16	believe	True	True	true	4	True
train	12	1	en-ud-train.conllu 4504	16	believe	True	True	true	3	True
train	1	1	en-ud-train.conllu 9274	20	happen	True	True	false	4	True
train	10	1	en-ud-train.conllu 9274	20	happen	True	True	false	2	True
train	1	1	en-ud-train.conllu 12	7	announce	True	True	true	4	True
train	16	1	en-ud-train.conllu 12	7	announce	True	True	true	4	True
dev	12	1	en-ud-dev.conllu 913	6	offer	True	True	false	1	True
dev	16	1	en-ud-dev.conllu 913	6	offer	True	True	true	2	True
train	1	1	en-ud-train.conllu 38	25	die	True	True	true	4	True
train	16	1	en-ud-train.conllu 38	25	die	True	True	true	4	True
dev	7	1	en-ud-dev.conllu 949	18	promise	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 949	18	promise	True	True	true	3	True
train	8	1	en-ud-train.conllu 46	38	shoot	True	True	true	4	True
train	10	1	en-ud-train.conllu 46	38	shoot	True	True	true	4	True
dev	1	1	en-ud-dev.conllu 951	26	say	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 951	26	say	True	True	true	4	True
train	6	1	en-ud-train.conllu 52	55	loot	True	True	false	4	True
train	14	1	en-ud-train.conllu 52	55	loot	True	True	false	4	True
train	8	1	en-ud-train.conllu 9304	7	hiss	True	True	false	2	True
train	21	1	en-ud-train.conllu 9304	7	hiss	True	True	false	3	True
train	16	1	en-ud-train.conllu 64	39	mutilate	True	True	false	3	True
train	8	1	en-ud-train.conllu 64	39	mutilate	True	True	true	4	True
train	6	1	en-ud-train.conllu 9312	2	leave	True	True	true	4	True
train	16	1	en-ud-train.conllu 9312	2	leave	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 965	14	advance	True	True	true	4	True
dev	10	1	en-ud-dev.conllu 965	14	advance	True	True	true	3	True
train	14	1	en-ud-train.conllu 65	38	see	True	True	true	4	True
train	8	1	en-ud-train.conllu 65	38	see	True	True	true	4	True
train	18	1	en-ud-train.conllu 9318	15	launch	True	True	false	4	True
train	16	1	en-ud-train.conllu 9318	15	launch	True	True	false	4	True
train	21	1	en-ud-train.conllu 74	19	cause	True	True	true	4	True
train	5	1	en-ud-train.conllu 74	19	cause	True	True	true	4	True
train	14	1	en-ud-train.conllu 4505	16	get	True	True	false	4	True
train	16	1	en-ud-train.conllu 4505	16	get	True	True	false	4	True
dev	14	1	en-ud-dev.conllu 973	5	devastate	True	True	true	4	True
dev	5	1	en-ud-dev.conllu 973	5	devastate	True	True	true	4	True
train	1	1	en-ud-train.conllu 9325	7	infiltrate	True	True	true	4	True
train	18	1	en-ud-train.conllu 9325	7	infiltrate	True	True	false	3	True
train	6	1	en-ud-train.conllu 83	34	characterize	True	True	true	4	True
train	7	1	en-ud-train.conllu 83	34	characterize	True	True	true	4	True
train	1	1	en-ud-train.conllu 4522	29	buy	True	True	true	4	True
train	10	1	en-ud-train.conllu 4522	29	buy	True	True	true	4	True
dev	7	1	en-ud-dev.conllu 984	20	invest	True	True	false	4	True
dev	1	1	en-ud-dev.conllu 984	20	invest	True	True	false	4	True
train	1	1	en-ud-train.conllu 9335	11	allow	True	True	false	2	True
train	16	1	en-ud-train.conllu 9335	11	allow	True	True	false	2	True
train	18	1	en-ud-train.conllu 9351	2	have	True	True	true	4	True
train	10	1	en-ud-train.conllu 9351	2	have	True	True	true	4	True
dev	7	1	en-ud-dev.conllu 1002	17	call	True	True	true	4	True
dev	16	1	en-ud-dev.conllu 1002	17	call	True	True	true	4	True
train	1	1	en-ud-train.conllu 4567	3	attach	True	True	true	4	True
train	10	1	en-ud-train.conllu 4567	3	attach	True	True	true	3	True
train	6	1	en-ud-train.conllu 9366	5	provide	True	False	na	na	True
train	14	1	en-ud-train.conllu 9366	5	provide	True	True	false	1	True
dev	7	1	en-ud-dev.conllu 1025	2	want	True	True	true	4	True
dev	5	1	en-ud-dev.conllu 1025	2	want	True	True	false	2	True
train	16	1	en-ud-train.conllu 9397	2	end	True	True	true	4	True
