Split	Annotator.ID	Display.Position	Sentence.ID	Pred.Token	Pred.Lemma	Is.Predicate	Is.Understandable	Happened	Confidence
dev	6	1	en-ud-dev.conllu 780	8	confess	true	true	true	4
dev	14	1	en-ud-dev.conllu 780	8	confess	true	true	true	4
dev	7	1	en-ud-dev.conllu 802	11	decide	true	true	true	4
dev	14	1	en-ud-dev.conllu 802	11	decide	true	true	true	4
dev	1	1	en-ud-dev.conllu 807	47	add	false	true	na	na
dev	14	1	en-ud-dev.conllu 807	47	add	true	true	false	4
dev	8	1	en-ud-dev.conllu 877	17	add	true	true	true	4
dev	1	1	en-ud-dev.conllu 877	17	add	true	true	true	2
train	14	1	en-ud-train.conllu 4504	16	believe	true	true	true	4
train	12	1	en-ud-train.conllu 4504	16	believe	true	true	true	3
train	1	1	en-ud-train.conllu 9274	20	happen	true	true	false	4
train	10	1	en-ud-train.conllu 9274	20	happen	true	true	false	2
train	1	1	en-ud-train.conllu 12	7	announce	true	true	true	4
train	16	1	en-ud-train.conllu 12	7	announce	true	true	true	4
dev	12	1	en-ud-dev.conllu 913	6	offer	true	true	false	1
dev	16	1	en-ud-dev.conllu 913	6	offer	true	true	true	2
train	1	1	en-ud-train.conllu 38	25	die	true	true	true	4
train	16	1	en-ud-train.conllu 38	25	die	true	true	true	4
dev	7	1	en-ud-dev.conllu 949	18	promise	true	true	true	4
dev	16	1	en-ud-dev.conllu 949	18	promise	true	true	true	3
train	8	1	en-ud-train.conllu 46	38	shoot	true	true	true	4
train	10	1	en-ud-train.conllu 46	38	shoot	true	true	true	4
dev	1	1	en-ud-dev.conllu 951	26	say	true	true	true	4
dev	16	1	en-ud-dev.conllu 951	26	say	true	true	true	4
train	6	1	en-ud-train.conllu 52	55	loot	true	true	false	4
train	14	1	en-ud-train.conllu 52	55	loot	true	true	false	4
train	8	1	en-ud-train.conllu 9304	7	hiss	true	true	false	2
train	21	1	en-ud-train.conllu 9304	7	hiss	true	true	false	3
train	16	1	en-ud-train.conllu 64	39	mutilate	true	true	false	3
train	8	1	en-ud-train.conllu 64	39	mutilate	true	true	true	4
train	6	1	en-ud-train.conllu 9312	2	leave	true	true	true	4
train	16	1	en-ud-train.conllu 9312	2	leave	true	true	true	4
dev	16	1	en-ud-dev.conllu 965	14	advance	true	true	true	4
dev	10	1	en-ud-dev.conllu 965	14	advance	true	true	true	3
train	14	1	en-ud-train.conllu 65	38	see	true	true	true	4
train	8	1	en-ud-train.conllu 65	38	see	true	true	true	4
train	18	1	en-ud-train.conllu 9318	15	launch	true	true	false	4
train	16	1	en-ud-train.conllu 9318	15	launch	true	true	false	4
train	21	1	en-ud-train.conllu 74	19	cause	true	true	true	4
train	5	1	en-ud-train.conllu 74	19	cause	true	true	true	4
train	14	1	en-ud-train.conllu 4505	16	get	true	true	false	4
train	16	1	en-ud-train.conllu 4505	16	get	true	true	false	4
dev	14	1	en-ud-dev.conllu 973	5	devastate	true	true	true	4
dev	5	1	en-ud-dev.conllu 973	5	devastate	true	true	true	4
train	1	1	en-ud-train.conllu 9325	7	infiltrate	true	true	true	4
train	18	1	en-ud-train.conllu 9325	7	infiltrate	true	true	false	3
train	6	1	en-ud-train.conllu 83	34	characterize	true	true	true	4
train	7	1	en-ud-train.conllu 83	34	characterize	true	true	true	4
train	1	1	en-ud-train.conllu 4522	29	buy	true	true	true	4
train	10	1	en-ud-train.conllu 4522	29	buy	true	true	true	4
dev	7	1	en-ud-dev.conllu 984	20	invest	true	true	false	4
dev	1	1	en-ud-dev.conllu 984	20	invest	true	true	false	4
train	1	1	en-ud-train.conllu 9335	11	allow	true	true	false	2
train	16	1	en-ud-train.conllu 9335	11	allow	true	true	false	2
train	18	1	en-ud-train.conllu 9351	2	have	true	true	true	4
train	10	1	en-ud-train.conllu 9351	2	have	true	true	true	4
dev	7	1	en-ud-dev.conllu 1002	17	call	true	true	true	4
dev	16	1	en-ud-dev.conllu 1002	17	call	true	true	true	4
train	1	1	en-ud-train.conllu 4567	3	attach	true	true	true	4
train	10	1	en-ud-train.conllu 4567	3	attach	true	true	true	3
train	6	1	en-ud-train.conllu 9366	5	provide	true	false	na	na
train	14	1	en-ud-train.conllu 9366	5	provide	true	true	false	1
dev	7	1	en-ud-dev.conllu 1025	2	want	true	true	true	4
dev	5	1	en-ud-dev.conllu 1025	2	want	true	true	false	2
train	16	1	en-ud-train.conllu 9397	2	end	true	true	true	4
train	14	1	en-ud-train.conllu 9397	2	end	true	true	true	4
train	21	1	en-ud-train.conllu 4592	19	propose	true	true	false	3
train	1	1	en-ud-train.conllu 4592	19	propose	true	true	true	4
train	8	1	en-ud-train.conllu 9415	4	help	true	true	false	4
train	1	1	en-ud-train.conllu 9415	4	help	true	true	true	4
dev	1	1	en-ud-dev.conllu 1084	3	found	true	true	true	4
dev	10	1	en-ud-dev.conllu 1084	3	found	true	true	true	4
train	7	1	en-ud-train.conllu 4626	5	begin	true	true	false	4
train	8	1	en-ud-train.conllu 4626	5	begin	true	true	false	4
train	8	1	en-ud-train.conllu 9456	13	mean	true	true	true	2
train	7	1	en-ud-train.conllu 9456	13	mean	true	true	true	4
dev	16	1	en-ud-dev.conllu 1133	2	say	true	true	true	4
dev	10	1	en-ud-dev.conllu 1133	2	say	true	true	true	4
train	8	1	en-ud-train.conllu 9466	2	have	true	true	true	4
train	10	1	en-ud-train.conllu 9466	2	have	true	true	true	4
dev	8	1	en-ud-dev.conllu 1223	2	like	true	true	true	4
dev	16	1	en-ud-dev.conllu 1223	2	like	true	true	true	4
train	20	1	en-ud-train.conllu 4648	2	join	true	true	true	3
train	19	1	en-ud-train.conllu 4648	2	join	true	true	true	4
train	10	1	en-ud-train.conllu 9491	4	do	true	true	true	3
train	1	1	en-ud-train.conllu 9491	4	do	true	true	false	2
dev	7	1	en-ud-dev.conllu 1277	8	spend	true	true	false	4
dev	1	1	en-ud-dev.conllu 1277	8	spend	true	true	false	3
train	1	1	en-ud-train.conllu 9509	10	advise	true	true	false	3
train	10	1	en-ud-train.conllu 9509	10	advise	true	true	true	4
train	7	1	en-ud-train.conllu 4701	3	estimate	true	true	true	4
train	1	1	en-ud-train.conllu 4701	3	estimate	true	true	true	4
dev	16	1	en-ud-dev.conllu 1304	2	se	true	true	true	4
dev	1	1	en-ud-dev.conllu 1304	2	se	false	false	na	na
train	7	1	en-ud-train.conllu 4755	2	decide	true	true	true	4
train	1	1	en-ud-train.conllu 4755	2	decide	true	true	true	4
train	18	1	en-ud-train.conllu 9535	27	put	true	true	false	3
train	1	1	en-ud-train.conllu 9535	27	put	true	true	false	2
dev	16	1	en-ud-dev.conllu 1354	2	want	true	true	true	4
dev	18	1	en-ud-dev.conllu 1354	2	want	true	true	true	4
