,Split,Annotator.ID,Display.Position,Sentence.ID,Pred.Token,Pred.Lemma,Is.Predicate,Is.Understandable,Happened,Confidence,keep
0,dev,6,1,en-ud-dev.conllu 780,8,confess,True,True,true,4,True
1,dev,14,1,en-ud-dev.conllu 780,8,confess,True,True,true,4,True
2,dev,7,1,en-ud-dev.conllu 802,11,decide,True,True,true,4,True
3,dev,14,1,en-ud-dev.conllu 802,11,decide,True,True,true,4,True
4,dev,1,1,en-ud-dev.conllu 807,47,add,False,True,na,na,True
5,dev,14,1,en-ud-dev.conllu 807,47,add,True,True,false,4,True
6,dev,8,1,en-ud-dev.conllu 877,17,add,True,True,true,4,True
7,dev,1,1,en-ud-dev.conllu 877,17,add,True,True,true,2,True
8,train,14,1,en-ud-train.conllu 4504,16,believe,True,True,true,4,True
9,train,12,1,en-ud-train.conllu 4504,16,believe,True,True,true,3,True
10,train,1,1,en-ud-train.conllu 9274,20,happen,True,True,false,4,True
11,train,10,1,en-ud-train.conllu 9274,20,happen,True,True,false,2,True
12,train,1,1,en-ud-train.conllu 12,7,announce,True,True,true,4,True
13,train,16,1,en-ud-train.conllu 12,7,announce,True,True,true,4,True
14,dev,12,1,en-ud-dev.conllu 913,6,offer,True,True,false,1,True
15,dev,16,1,en-ud-dev.conllu 913,6,offer,True,True,true,2,True
16,train,1,1,en-ud-train.conllu 38,25,die,True,True,true,4,True
17,train,16,1,en-ud-train.conllu 38,25,die,True,True,true,4,True
18,dev,7,1,en-ud-dev.conllu 949,18,promise,True,True,true,4,True
19,dev,16,1,en-ud-dev.conllu 949,18,promise,True,True,true,3,True
20,train,8,1,en-ud-train.conllu 46,38,shoot,True,True,true,4,True
21,train,10,1,en-ud-train.conllu 46,38,shoot,True,True,true,4,True
22,dev,1,1,en-ud-dev.conllu 951,26,say,True,True,true,4,True
23,dev,16,1,en-ud-dev.conllu 951,26,say,True,True,true,4,True
24,train,6,1,en-ud-train.conllu 52,55,loot,True,True,false,4,True
25,train,14,1,en-ud-train.conllu 52,55,loot,True,True,false,4,True
26,train,8,1,en-ud-train.conllu 9304,7,hiss,True,True,false,2,True
27,train,21,1,en-ud-train.conllu 9304,7,hiss,True,True,false,3,True
28,train,16,1,en-ud-train.conllu 64,39,mutilate,True,True,false,3,True
29,train,8,1,en-ud-train.conllu 64,39,mutilate,True,True,true,4,True
30,train,6,1,en-ud-train.conllu 9312,2,leave,True,True,true,4,True
31,train,16,1,en-ud-train.conllu 9312,2,leave,True,True,true,4,True
32,dev,16,1,en-ud-dev.conllu 965,14,advance,True,True,true,4,True
33,dev,10,1,en-ud-dev.conllu 965,14,advance,True,True,true,3,True
34,train,14,1,en-ud-train.conllu 65,38,see,True,True,true,4,True
35,train,8,1,en-ud-train.conllu 65,38,see,True,True,true,4,True
36,train,18,1,en-ud-train.conllu 9318,15,launch,True,True,false,4,True
37,train,16,1,en-ud-train.conllu 9318,15,launch,True,True,false,4,True
38,train,21,1,en-ud-train.conllu 74,19,cause,True,True,true,4,True
39,train,5,1,en-ud-train.conllu 74,19,cause,True,True,true,4,True
40,train,14,1,en-ud-train.conllu 4505,16,get,True,True,false,4,True
41,train,16,1,en-ud-train.conllu 4505,16,get,True,True,false,4,True
42,dev,14,1,en-ud-dev.conllu 973,5,devastate,True,True,true,4,True
43,dev,5,1,en-ud-dev.conllu 973,5,devastate,True,True,true,4,True
44,train,1,1,en-ud-train.conllu 9325,7,infiltrate,True,True,true,4,True
45,train,18,1,en-ud-train.conllu 9325,7,infiltrate,True,True,false,3,True
46,train,6,1,en-ud-train.conllu 83,34,characterize,True,True,true,4,True
47,train,7,1,en-ud-train.conllu 83,34,characterize,True,True,true,4,True
48,train,1,1,en-ud-train.conllu 4522,29,buy,True,True,true,4,True
49,train,10,1,en-ud-train.conllu 4522,29,buy,True,True,true,4,True
50,dev,7,1,en-ud-dev.conllu 984,20,invest,True,True,false,4,True
51,dev,1,1,en-ud-dev.conllu 984,20,invest,True,True,false,4,True
52,train,1,1,en-ud-train.conllu 9335,11,allow,True,True,false,2,True
53,train,16,1,en-ud-train.conllu 9335,11,allow,True,True,false,2,True
54,train,18,1,en-ud-train.conllu 9351,2,have,True,True,true,4,True
55,train,10,1,en-ud-train.conllu 9351,2,have,True,True,true,4,True
56,dev,7,1,en-ud-dev.conllu 1002,17,call,True,True,true,4,True
57,dev,16,1,en-ud-dev.conllu 1002,17,call,True,True,true,4,True
58,train,1,1,en-ud-train.conllu 4567,3,attach,True,True,true,4,True
59,train,10,1,en-ud-train.conllu 4567,3,attach,True,True,true,3,True
60,train,6,1,en-ud-train.conllu 9366,5,provide,True,False,na,na,True
61,train,14,1,en-ud-train.conllu 9366,5,provide,True,True,false,1,True
62,dev,7,1,en-ud-dev.conllu 1025,2,want,True,True,true,4,True
63,dev,5,1,en-ud-dev.conllu 1025,2,want,True,True,false,2,True
64,train,16,1,en-ud-train.conllu 9397,2,end,True,True,true,4,True
65,train,14,1,en-ud-train.conllu 9397,2,end,True,True,true,4,True
66,train,21,1,en-ud-train.conllu 4592,19,propose,True,True,false,3,True
67,train,1,1,en-ud-train.conllu 4592,19,propose,True,True,true,4,True
68,train,8,1,en-ud-train.conllu 9415,4,help,True,True,false,4,True
69,train,1,1,en-ud-train.conllu 9415,4,help,True,True,true,4,True
70,dev,1,1,en-ud-dev.conllu 1084,3,found,True,True,true,4,True
71,dev,10,1,en-ud-dev.conllu 1084,3,found,True,True,true,4,True
72,train,7,1,en-ud-train.conllu 4626,5,begin,True,True,false,4,True
73,train,8,1,en-ud-train.conllu 4626,5,begin,True,True,false,4,True
74,train,8,1,en-ud-train.conllu 9456,13,mean,True,True,true,2,True
75,train,7,1,en-ud-train.conllu 9456,13,mean,True,True,true,4,True
76,dev,16,1,en-ud-dev.conllu 1133,2,say,True,True,true,4,True
77,dev,10,1,en-ud-dev.conllu 1133,2,say,True,True,true,4,True
78,train,8,1,en-ud-train.conllu 9466,2,have,True,True,true,4,True
79,train,10,1,en-ud-train.conllu 9466,2,have,True,True,true,4,True
